"Year","State","NMFS Name","Pounds","Metric Tons","Dollars","Confidentiality","Collection","Scientific Name","Tsn","Source"
"2017","CALIFORNIA","THORNYHEAD, SHORTSPINE","1,082,689","491","3,689,427","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2017","OREGON","SABLEFISH","5,555,863","2,520","15,546,970","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2017","OREGON","SOLE, DOVER","11,470,197","5,203","4,826,162","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2017","OREGON","THORNYHEAD, LONGSPINE","913,154","414","333,098","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2017","OREGON","THORNYHEAD, SHORTSPINE","1,258,618","571","780,466","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2017","WASHINGTON","SABLEFISH","2,727,997","1,237","9,160,913","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2017","WASHINGTON","SOLE, DOVER","1,098,121","498","485,762","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2017","WASHINGTON","THORNYHEAD, LONGSPINE","7,716","4","2,794","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2017","WASHINGTON","THORNYHEAD, SHORTSPINE","165,126","75","142,241","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2017","WASHINGTON","THORNYHEAD, SHORTSPINE","","","","Confidential","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2016","CALIFORNIA","SABLEFISH","3,853,455","1,748","8,791,383","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2016","CALIFORNIA","SOLE, DOVER","3,986,614","1,808","1,780,977","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2016","CALIFORNIA","THORNYHEAD, LONGSPINE","871,266","395","500,481","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2016","CALIFORNIA","THORNYHEAD, SHORTSPINE","723,115","328","2,482,459","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2016","OREGON","SABLEFISH","5,526,321","2,507","15,061,807","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2016","OREGON","SOLE, DOVER","11,384,437","5,164","4,893,372","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2016","OREGON","THORNYHEAD, LONGSPINE","536,384","243","200,084","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2016","OREGON","THORNYHEAD, SHORTSPINE","1,214,746","551","744,560","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2016","WASHINGTON","SABLEFISH","2,543,691","1,154","7,778,714","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2016","WASHINGTON","SOLE, DOVER","765,444","347","332,327","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2016","WASHINGTON","THORNYHEAD, LONGSPINE","1,323","1","1,079","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2016","WASHINGTON","THORNYHEAD, SHORTSPINE","116,404","53","87,076","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
